,conceptId,Primary Source,conceptId,Secondary Source,conceptId,Question Text,Variable Label,Variable Name,Variable Type,Variable Length,conceptId,Format/Value,conceptId,Response Label (select as many as apply questions only),Response Variable Name (select as many as apply questions only),Required,PII,Questions/Notes
,762425271,Recruitment,456348622,Sign in,397762743,Site Study ID,Study ID,studyId,Char,10,,N/A,,,,Yes,No,
,762425271,Recruitment,456348622,Sign in,653457570,Token generated before the website visit or at sign-in.,Token,token,Char,36,,N/A,,,,Yes,No,
,762425271,Recruitment,456348622,Sign in,036867202,Pin generated by site or DCEG prior to sign-in,PIN,pin,Char,8,,N/A,,,,No,No,Used by some sites for sign-in. Active recruits with PINs will also be assigned a token when the PINs are pushed to DCEG. Variable length subject to change depending on sites.
,762425271,Recruitment,456348622,Sign in,138112954,Autogenerated flag - Token or pin assigned ,Token or pin assigned,RcrtSI_TokenAssigned_v1r0,Num,1,050900148,0 = No,,,,Yes,No,All study IDs submitted by sites for which a token or pin has been assigned will be flagged as 1. There shoud be no instances of a StudyID in our system assigned a zero.  Passive recruits will be assigned a 1 after completing sign-n which includes selecting a site.
,,,,,,,,,,,382174743,1 = Yes,,,,,,
,762425271,Recruitment,456348622,Sign in,476135958,Autogenerated flag - Recruitment type,Recruitment type,RcrtSI_RecruitType_v1r0,Num,1,304241939,0 = Not active,,,,Yes,No,"All Study IDs for which the sites have incicated they are activily recruiting will be flagged as 1.  Individuals with a token, but who are not being activly recruited are flagged as zero (default). All individuals who sign in without a valid token or pin are flagged as 2.",
,,,,,,,,,,,936189906,1 = Active,,,,,,
,,,,,,,,,,,818682925,2 = Passive,,,,,,
,762425271,Recruitment,456348622,Sign in,879242047,Autogenerated date/time for recruitment type flag,Time recruitment type assigned,RcrtSI_TypeTime_v1r0,DATETIME20,20,,ddmonyyyy:hh:mm:ss (01JAN2020:04:23:53),,,,Yes  ,No,ISO to be converted to SAS format
,762425271,Recruitment,456348622,Sign in,981159943,Site reported age at recruitment,Site reported age at recruitment,RcrtSI_Age_v1r0,Num,1,222739462,0 = 40-45,,,,Yes - if site wants break out for dashboard,No,Currently assume sites will send this info with the push of active recruits
,,,,,,,,,,,385718046,1 = 46-50,,,,,,
,,,,,,,,,,,698583906,2 = 51-55,,,,,,
,,,,,,,,,,,173845171,3 = 56-60,,,,,,
,,,,,,,,,,,100496510,4 = 61-65,,,,,,
,762425271,Recruitment,456348622,Sign in,406001970,Site reported race,Site reported race,RcrtSI_Race_v1r0,Num,1,354996325,0 = American Indian/Alaskan Native,,,,Yes - if site wants break out for dashboard,No,Currently assume sites will send this info with the push of active recruits
,,,,,,,,,,,819652879,1 = Asian,,,,,,
,,,,,,,,,,,051744117,2 = Native Hawaiian or Other Pacific Islander,,,,,,
,,,,,,,,,,,835311052,3 = Black or African-American,,,,,,
,,,,,,,,,,,061758176,4 = White,,,,,,
